,Sample1,Sample2,Sample3,Sample4,Sample5
Model1,0.737221494102228,0.9855832241153342,0.8060288335517694,0.737221494102228,0.9934469200524246
Model2,0.5884665792922673,0.9980340760157274,0.7103538663171691,0.536697247706422,0.9980340760157274
Model3,0.5,0.8885976408912188,0.4967234600262123,0.5,0.9515072083879423
Model4,0.5,0.6572739187418086,0.5524246395806028,0.5,0.6684141546526867
Model5,0.6192660550458715,0.8250327653997379,0.6644823066841415,0.6192660550458715,0.7732634338138925
